country,country_ja,region,region_ja,year,population,life_expectancy,fertility
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1960,7046553,68.96,2.7
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1965,7269888,70.09,2.7
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1970,7465301,70.21,2.3
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1975,7576926,71.44,1.82
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1980,7547561,72.84,1.65
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1985,7562114,74.26,1.48
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1990,7678729,75.97,1.46
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1995,7947296,77.03,1.44
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,2000,8010428,78.49,1.36
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,2005,8227034,79.75,1.41
Bahamas,バハマ,America,アメリカ大陸,1955,92444,60.03,4.5
Bahamas,バハマ,America,アメリカ大陸,1960,114500,61.93,4.74
Bahamas,バハマ,America,アメリカ大陸,1965,144849,63.28,4.48
Bahamas,バハマ,America,アメリカ大陸,1970,179129,65.4,4.07
Bahamas,バハマ,America,アメリカ大陸,1975,201881,68.21,3.26
Bahamas,バハマ,America,アメリカ大陸,1980,223752,68.62,2.9
Bahamas,バハマ,America,アメリカ大陸,1985,245935,70.21,2.63
Bahamas,バハマ,America,アメリカ大陸,1990,270679,70.86,2.53
Bahamas,バハマ,America,アメリカ大陸,1995,299554,70.77,2.5
Bahamas,バハマ,America,アメリカ大陸,2000,325014,71.25,2.1
Bahamas,バハマ,America,アメリカ大陸,2005,347804,73.18,2.05
Bangladesh,バングラデシュ,South Asia,南アジア,1955,44315548,41.87,6.49
Bangladesh,バングラデシュ,South Asia,南アジア,1960,50396429,43.82,6.77
Bangladesh,バングラデシュ,South Asia,南アジア,1965,58500159,45.87,6.84
Bangladesh,バングラデシュ,South Asia,南アジア,1970,67541860,42.2,6.88
Bangladesh,バングラデシュ,South Asia,南アジア,1975,74700345,50.62,6.74
Bangladesh,バングラデシュ,South Asia,南アジア,1980,83929765,53.22,6.32
Bangladesh,バングラデシュ,South Asia,南アジア,1985,95959099,53.75,5.54
Bangladesh,バングラデシュ,South Asia,南アジア,1990,107147651,58.19,4.48
Bangladesh,バングラデシュ,South Asia,南アジア,1995,117793338,62.24,3.61
Bangladesh,バングラデシュ,South Asia,南アジア,2000,129193327,65.47,3.22
Bangladesh,バングラデシュ,South Asia,南アジア,2005,140912590,67.44,2.81
Barbados,バルバドス,America,アメリカ大陸,1955,227320,62.11,4.34
Barbados,バルバドス,America,アメリカ大陸,1960,232550,66.14,4.33
Barbados,バルバドス,America,アメリカ大陸,1965,237694,68.23,3.96
Barbados,バルバドス,America,アメリカ大陸,1970,241397,69.18,3.11
Barbados,バルバドス,America,アメリカ大陸,1975,247090,70.33,2.39
Barbados,バルバドス,America,アメリカ大陸,1980,253575,72.96,2.0
Barbados,バルバドス,America,アメリカ大陸,1985,257911,73.95,1.83
Barbados,バルバドス,America,アメリカ大陸,1990,258868,73.86,1.74
Barbados,バルバドス,America,アメリカ大陸,1995,262303,73.9,1.73
Barbados,バルバドス,America,アメリカ大陸,2000,264657,74.74,1.78
Barbados,バルバドス,America,アメリカ大陸,2005,269477,75.24,1.79
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1955,8834526,68.8,2.4
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1960,9108724,70.07,2.56
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1965,9412087,70.76,2.61
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1970,9629376,71.1,2.25
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1975,9763430,72.15,1.74
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1980,9828986,73.33,1.68
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1985,9880534,74.61,1.51
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1990,9959560,76.15,1.62
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,1995,10095198,77.01,1.56
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,2000,10264343,78.04,1.66
Belgium,ベルギー,Europe & Central Asia,ヨーロッパ・中央アジア,2005,10516978,79.32,1.76
Bolivia,ボリビア,America,アメリカ大陸,1955,3357923,40.53,6.47
Bolivia,ボリビア,America,アメリカ大陸,1960,3707515,43.0,6.44
Bolivia,ボリビア,America,アメリカ大陸,1965,4115511,46.17,6.26
Bolivia,ボリビア,America,アメリカ大陸,1970,4585693,50.09,6.0
Bolivia,ボリビア,America,アメリカ大陸,1975,5127776,53.66,5.79
Bolivia,ボリビア,America,アメリカ大陸,1980,5736088,56.76,5.47
Bolivia,ボリビア,America,アメリカ大陸,1985,6385630,59.14,5.19
Bolivia,ボリビア,America,アメリカ大陸,1990,7096194,61.69,4.89
Bolivia,ボリビア,America,アメリカ大陸,1995,7841471,64.02,4.41
Bolivia,ボリビア,America,アメリカ大陸,2000,8592656,66.53,3.99
Bolivia,ボリビア,America,アメリカ大陸,2005,9377388,68.97,3.56
Brazil,ブラジル,America,アメリカ大陸,1955,62701031,49.94,6.11
Brazil,ブラジル,America,アメリカ大陸,1960,73092515,52.44,6.1
Brazil,ブラジル,America,アメリカ大陸,1965,84623747,54.83,5.69
Brazil,ブラジル,America,アメリカ大陸,1970,96369875,56.94,4.97
Brazil,ブラジル,America,アメリカ大陸,1975,108700515,59.78,4.42
Brazil,ブラジル,America,アメリカ大陸,1980,122288383,62.74,4.04
Brazil,ブラジル,America,アメリカ大陸,1985,136783180,64.61,3.47
Brazil,ブラジル,America,アメリカ大陸,1990,150706446,67.29,2.91
Brazil,ブラジル,America,アメリカ大陸,1995,163515328,69.17,2.58
Brazil,ブラジル,America,アメリカ大陸,2000,175873720,71.18,2.26
Brazil,ブラジル,America,アメリカ大陸,2005,186797334,72.81,1.97
Canada,カナダ,America,アメリカ大陸,1955,15733923,70.33,3.82
Canada,カナダ,America,アメリカ大陸,1960,17909356,71.15,3.9
Canada,カナダ,America,アメリカ大陸,1965,19688805,71.9,3.14
Canada,カナダ,America,アメリカ大陸,1970,21434577,72.76,2.33
Canada,カナダ,America,アメリカ大陸,1975,23136252,73.63,1.85
Canada,カナダ,America,アメリカ大陸,1980,24511510,75.21,1.74
Canada,カナダ,America,アメリカ大陸,1985,25843922,76.38,1.67
Canada,カナダ,America,アメリカ大陸,1990,27657204,77.43,1.81
Canada,カナダ,America,アメリカ大陸,1995,29289423,78.12,1.68
Canada,カナダ,America,アメリカ大陸,2000,30683313,79.36,1.49
Canada,カナダ,America,アメリカ大陸,2005,32215916,80.43,1.54
Chile,チリ,America,アメリカ大陸,1955,7323194,54.83,4.97
Chile,チリ,America,アメリカ大陸,1960,8141820,54.2,4.92
Chile,チリ,America,アメリカ大陸,1965,8994936,58.7,4.44
Chile,チリ,America,アメリカ大陸,1970,9820481,61.99,3.78
Chile,チリ,America,アメリカ大陸,1975,10639531,66.15,3.18
Chile,チリ,America,アメリカ大陸,1980,11469828,69.44,2.74
Chile,チリ,America,アメリカ大陸,1985,12326396,71.95,2.59
Chile,チリ,America,アメリカ大陸,1990,13342868,73.43,2.58
Chile,チリ,America,アメリカ大陸,1995,14416796,75.28,2.3
Chile,チリ,America,アメリカ大陸,2000,15351799,76.93,1.99
Chile,チリ,America,アメリカ大陸,2005,16175311,77.89,1.8
China,中国,East Asia & Pacific,東アジア・太平洋,1955,603320147,53.92,6.16
China,中国,East Asia & Pacific,東アジア・太平洋,1960,654170692,27.79,4.33
China,中国,East Asia & Pacific,東アジア・太平洋,1965,723846349,58.47,6.53
China,中国,East Asia & Pacific,東アジア・太平洋,1970,822534450,60.88,6.09
China,中国,East Asia & Pacific,東アジア・太平洋,1975,915124661,62.81,3.57
China,中国,East Asia & Pacific,東アジア・太平洋,1980,982372466,64.41,2.74
China,中国,East Asia & Pacific,東アジア・太平洋,1985,1060239979,66.59,2.63
China,中国,East Asia & Pacific,東アジア・太平洋,1990,1153704252,68.09,2.51
China,中国,East Asia & Pacific,東アジア・太平洋,1995,1218144426,69.75,1.59
China,中国,East Asia & Pacific,東アジア・太平洋,2000,1264099069,71.33,1.63
China,中国,East Asia & Pacific,東アジア・太平洋,2005,1304887562,72.98,1.62
Colombia,コロンビア,America,アメリカ大陸,1955,13512612,57.49,6.67
Colombia,コロンビア,America,アメリカ大陸,1960,15687688,59.26,6.75
Colombia,コロンビア,America,アメリカ大陸,1965,18275814,61.58,6.36
Colombia,コロンビア,America,アメリカ大陸,1970,20905254,65.93,5.28
Colombia,コロンビア,America,アメリカ大陸,1975,23403731,66.27,4.4
Colombia,コロンビア,America,アメリカ大陸,1980,26176195,68.92,3.86
Colombia,コロンビア,America,アメリカ大陸,1985,29326260,67.21,3.34
Colombia,コロンビア,America,アメリカ大陸,1990,32601393,71.45,3.08
Colombia,コロンビア,America,アメリカ大陸,1995,35970101,72.55,2.86
Colombia,コロンビア,America,アメリカ大陸,2000,39215135,74.23,2.57
Colombia,コロンビア,America,アメリカ大陸,2005,42220940,76.52,2.26
Costa Rica,コスタリカ,America,アメリカ大陸,1955,1123982,61.93,6.71
Costa Rica,コスタリカ,America,アメリカ大陸,1960,1346302,65.35,6.86
Costa Rica,コスタリカ,America,アメリカ大陸,1965,1602736,65.49,6.04
Costa Rica,コスタリカ,America,アメリカ大陸,1970,1855697,67.04,4.59
Costa Rica,コスタリカ,America,アメリカ大陸,1975,2111850,71.6,3.8
Costa Rica,コスタリカ,America,アメリカ大陸,1980,2414303,74.68,3.59
Costa Rica,コスタリカ,America,アメリカ大陸,1985,2771463,75.71,3.51
Costa Rica,コスタリカ,America,アメリカ大陸,1990,3158253,76.94,3.21
Costa Rica,コスタリカ,America,アメリカ大陸,1995,3572856,76.53,2.8
Costa Rica,コスタリカ,America,アメリカ大陸,2000,3979193,77.9,2.41
Costa Rica,コスタリカ,America,アメリカ大陸,2005,4315887,79.44,2.04
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1955,4049659,60.23,2.57
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1960,4215324,64.71,2.26
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1965,4371381,67.64,2.21
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1970,4492638,68.67,1.92
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1975,4579428,70.58,1.96
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1980,4680144,70.67,1.92
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1985,4803325,71.32,1.82
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1990,4873707,72.46,1.63
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,1995,4807100,73.01,1.63
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,2000,4548434,74.65,1.47
Croatia,クロアチア,Europe & Central Asia,ヨーロッパ・中央アジア,2005,4429681,75.57,1.5
Cuba,キューバ,America,アメリカ大陸,1955,6559586,67.12,3.82
Cuba,キューバ,America,アメリカ大陸,1960,7267395,69.27,4.14
Cuba,キューバ,America,アメリカ大陸,1965,8067651,69.81,4.48
Cuba,キューバ,America,アメリカ大陸,1970,8869636,70.78,4.0
Cuba,キューバ,America,アメリカ大陸,1975,9514305,73.15,2.85
Cuba,キューバ,America,アメリカ大陸,1980,9809107,73.57,1.62
Cuba,キューバ,America,アメリカ大陸,1985,10149044,74.15,1.76
Cuba,キューバ,America,アメリカ大陸,1990,10626680,75.01,1.8
Cuba,キューバ,America,アメリカ大陸,1995,10926703,75.39,1.47
Cuba,キューバ,America,アメリカ大陸,2000,11105791,77.01,1.58
Cuba,キューバ,America,アメリカ大陸,2005,11246114,77.68,1.47
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1955,2791108,60.36,7.67
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1960,3298021,61.92,7.56
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1965,3868712,61.62,7.05
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1970,4475871,64.88,6.18
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1975,5106453,67.18,5.24
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1980,5755800,69.25,4.3
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1985,6417798,70.24,3.69
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1990,7129004,71.97,3.41
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,1995,7869753,73.71,3.1
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,2000,8540791,73.66,2.86
Dominican Republic,ドミニカ共和国,America,アメリカ大陸,2005,9164768,72.56,2.61
Ecuador,エクアドル,America,アメリカ大陸,1955,4022378,53.94,6.75
Ecuador,エクアドル,America,アメリカ大陸,1960,4618158,56.1,6.71
Ecuador,エクアドル,America,アメリカ大陸,1965,5337351,59.75,6.56
Ecuador,エクアドル,America,アメリカ大陸,1970,6172215,61.35,6.14
Ecuador,エクアドル,America,アメリカ大陸,1975,7105786,64.09,5.43
Ecuador,エクアドル,America,アメリカ大陸,1980,8135845,67.01,4.73
Ecuador,エクアドル,America,アメリカ大陸,1985,9254311,69.88,4.2
Ecuador,エクアドル,America,アメリカ大陸,1990,10449837,71.95,3.74
Ecuador,エクアドル,America,アメリカ大陸,1995,11561683,73.63,3.4
Ecuador,エクアドル,America,アメリカ大陸,2000,12626507,74.46,3.1
Ecuador,エクアドル,America,アメリカ大陸,2005,13770012,73.61,2.8
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1955,23841701,43.8,6.83
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1960,27034499,46.87,6.75
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1965,30818469,50.67,6.5
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1970,34781986,51.25,6.12
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1975,38775584,54.43,5.8
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1980,43748556,58.48,5.58
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1985,50035843,60.12,5.16
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1990,57214630,63.92,4.48
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,1995,64166908,66.38,3.84
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,2000,71371371,68.54,3.44
Egypt,エジプト,Middle East & North Africa,中東・北アフリカ,2005,79075310,68.78,3.15
El Salvador,エルサルバドル,America,アメリカ大陸,1955,2448633,48.83,6.47
El Salvador,エルサルバドル,America,アメリカ大陸,1960,2779327,53.46,6.66
El Salvador,エルサルバドル,America,アメリカ大陸,1965,3179506,56.44,6.65
El Salvador,エルサルバドル,America,アメリカ大陸,1970,3619090,57.81,6.18
El Salvador,エルサルバドル,America,アメリカ大陸,1975,4076751,62.42,5.68
El Salvador,エルサルバドル,America,アメリカ大陸,1980,4508992,63.81,5.11
El Salvador,エルサルバドル,America,アメリカ大陸,1985,4876757,65.59,4.35
El Salvador,エルサルバドル,America,アメリカ大陸,1990,5367179,69.8,3.95
El Salvador,エルサルバドル,America,アメリカ大陸,1995,5748195,71.59,3.58
El Salvador,エルサルバドル,America,アメリカ大陸,2000,5958482,73.07,3.14
El Salvador,エルサルバドル,America,アメリカ大陸,2005,6037817,73.58,2.46
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1955,4235413,67.73,2.93
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1960,4430173,69.22,2.72
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1965,4564583,69.56,2.47
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1970,4606621,70.66,1.82
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1975,4711368,72.17,1.68
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1980,4779418,74.01,1.63
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1985,4902175,74.88,1.64
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1990,4986545,75.43,1.78
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,1995,5107943,76.94,1.81
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,2000,5176209,78.04,1.73
Finland,フィンランド,Europe & Central Asia,ヨーロッパ・中央アジア,2005,5246071,79.32,1.8
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1955,43593851,69.33,2.7
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1960,45659575,71.19,2.74
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1965,48168804,71.83,2.82
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1970,50523586,72.6,2.5
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1975,52450030,73.34,1.95
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1980,53713830,74.68,1.96
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1985,55108106,75.77,1.82
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1990,56412897,77.21,1.78
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,1995,57420354,78.19,1.71
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,2000,58665453,79.19,1.88
France,フランス,Europe & Central Asia,ヨーロッパ・中央アジア,2005,60510079,80.56,1.92
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1955,3738231,54.29,2.88
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1960,4051492,59.25,2.95
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1965,4418592,62.95,2.78
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1970,4800426,65.36,2.67
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1975,4970320,66.74,2.53
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1980,5145843,68.54,2.33
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1985,5338867,69.06,2.34
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1990,5391636,68.53,2.31
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,1995,4877676,69.98,1.85
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,2000,4265172,70.68,1.6
Georgia,ジョージア,Europe & Central Asia,ヨーロッパ・中央アジア,2005,3961182,71.05,1.61
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1955,71222628,68.53,2.18
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1960,73063695,69.41,2.39
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1965,76037469,70.68,2.49
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1970,78294583,70.61,2.04
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1975,78513511,71.67,1.48
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1980,77786703,73.26,1.54
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1985,77638808,74.83,1.39
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1990,79370196,75.66,1.44
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,1995,81123262,76.87,1.25
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,2000,81551677,78.39,1.38
Germany,ドイツ,Europe & Central Asia,ヨーロッパ・中央アジア,2005,81212168,79.64,1.34
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1955,8146022,71.5,2.38
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1960,8495415,72.43,2.29
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1965,8526254,73.01,2.34
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1970,8544873,73.82,2.47
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1975,8805415,74.63,2.44
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1980,9307148,75.3,2.32
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1985,9840141,75.86,1.78
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1990,10302255,77.23,1.49
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,1995,10727927,77.75,1.39
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,2000,11038109,78.44,1.33
Greece,ギリシャ,Europe & Central Asia,ヨーロッパ・中央アジア,2005,11113448,79.43,1.35
Grenada,グレナダ,America,アメリカ大陸,1955,82656,61.2,6.43
Grenada,グレナダ,America,アメリカ大陸,1960,93772,64.11,6.74
Grenada,グレナダ,America,アメリカ大陸,1965,98226,65.58,5.6
Grenada,グレナダ,America,アメリカ大陸,1970,98794,66.98,4.52
Grenada,グレナダ,America,アメリカ大陸,1975,97165,69.02,4.02
Grenada,グレナダ,America,アメリカ大陸,1980,94838,69.31,3.63
Grenada,グレナダ,America,アメリカ大陸,1985,100576,69.55,3.54
Grenada,グレナダ,America,アメリカ大陸,1990,99047,69.21,3.49
Grenada,グレナダ,America,アメリカ大陸,1995,104060,70.7,2.99
Grenada,グレナダ,America,アメリカ大陸,2000,107432,71.97,2.58
Grenada,グレナダ,America,アメリカ大陸,2005,110254,72.38,2.34
Haiti,ハイチ,America,アメリカ大陸,1955,3545999,43.97,6.26
Haiti,ハイチ,America,アメリカ大陸,1960,3901139,45.41,6.24
Haiti,ハイチ,America,アメリカ大陸,1965,4274348,46.51,6.13
Haiti,ハイチ,America,アメリカ大陸,1970,4680812,47.96,5.87
Haiti,ハイチ,America,アメリカ大陸,1975,5124560,49.73,5.69
Haiti,ハイチ,America,アメリカ大陸,1980,5646676,51.28,5.65
Haiti,ハイチ,America,アメリカ大陸,1985,6245539,53.05,5.62
Haiti,ハイチ,America,アメリカ大陸,1990,6925331,54.57,5.48
Haiti,ハイチ,America,アメリカ大陸,1995,7627316,55.35,4.88
Haiti,ハイチ,America,アメリカ大陸,2000,8360225,57.43,4.39
Haiti,ハイチ,America,アメリカ大陸,2005,9111900,59.05,3.83
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1955,2490487,62.97,4.5
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1960,3114671,66.24,5.09
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1965,3602029,69.63,4.87
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1970,3955072,71.31,3.49
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1975,4451220,73.61,2.7
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1980,4978544,74.85,1.86
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1985,5411680,76.6,1.5
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1990,5838574,77.47,1.29
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,1995,6243859,79.15,1.3
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,2000,6731195,80.75,1.03
"Hong Kong, China",香港,East Asia & Pacific,東アジア・太平洋,2005,6936874,81.77,0.96
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1955,157735,72.71,4.08
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1960,175566,73.38,4.23
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1965,192309,73.72,3.71
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1970,204468,73.93,2.82
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1975,218070,75.67,2.64
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1980,228263,76.49,2.48
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1985,241577,77.26,1.94
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1990,255019,78.11,2.29
Iceland,アイスランド,Europe & Central Asia,ヨーロッパ・中央アジア,1995,267681,78.38,2.08
